TERYTC,ROK,RODZAJ,LICZBA
0264,2022,basenOdkryty,22
0264,2022,bieznia,86
0264,2022,inne,8
0264,2022,kortTenisowy,92
0264,2022,kortTenisowyZCzaszaFoliowa,14
0264,2022,ogrodBotaniczny,1
0264,2022,ogrodZoologiczny,1
0264,2022,osrodekSportowoRekreacyjny,49
0264,2022,park,67
0264,2022,placGierIZabaw,947
0264,2022,placSportowy,475
0264,2022,stadion,8
0264,2022,sztucznyStok,1
0264,2022,torSamochodowy,1
0264,2022,torZuzlowy,1
0264,2022,zespolDomowLetniskowych,1
0264,2023,basenOdkryty,22
0264,2023,bieznia,86
0264,2023,inne,8
0264,2023,kortTenisowy,92
0264,2023,kortTenisowyZCzaszaFoliowa,14
0264,2023,ogrodBotaniczny,1
0264,2023,ogrodZoologiczny,1
0264,2023,osrodekSportowoRekreacyjny,49
0264,2023,park,67
0264,2023,placGierIZabaw,947
0264,2023,placSportowy,475
0264,2023,stadion,8
0264,2023,sztucznyStok,1
0264,2023,torSamochodowy,1
0264,2023,torZuzlowy,1
0264,2023,zespolDomowLetniskowych,1
0264,2024,basenOdkryty,22
0264,2024,bieznia,86
0264,2024,inne,8
0264,2024,kortTenisowy,92
0264,2024,kortTenisowyZCzaszaFoliowa,14
0264,2024,ogrodBotaniczny,1
0264,2024,ogrodZoologiczny,1
0264,2024,osrodekSportowoRekreacyjny,49
0264,2024,park,67
0264,2024,placGierIZabaw,947
0264,2024,placSportowy,475
0264,2024,stadion,8
0264,2024,sztucznyStok,1
0264,2024,torSamochodowy,1
0264,2024,torZuzlowy,1
0264,2024,zespolDomowLetniskowych,1
0461,2022,basenOdkryty,4
0461,2022,bieznia,29
0461,2022,kortTenisowy,29
0461,2022,kortTenisowyZCzaszaFoliowa,4
0461,2022,ogrodZoologiczny,1
0461,2022,osrodekSportowoRekreacyjny,20
0461,2022,park,33
0461,2022,placGierIZabaw,473
0461,2022,placSportowy,239
0461,2022,stadion,6
0461,2022,torSamochodowy,2
0461,2022,torZuzlowy,2
0461,2022,zespolDomowLetniskowych,7
0461,2023,basenOdkryty,4
0461,2023,bieznia,29
0461,2023,kortTenisowy,29
0461,2023,kortTenisowyZCzaszaFoliowa,4
0461,2023,ogrodZoologiczny,1
0461,2023,osrodekSportowoRekreacyjny,20
0461,2023,park,33
0461,2023,placGierIZabaw,473
0461,2023,placSportowy,239
0461,2023,stadion,6
0461,2023,torSamochodowy,2
0461,2023,torZuzlowy,2
0461,2023,zespolDomowLetniskowych,7
0461,2024,basenOdkryty,3
0461,2024,bieznia,29
0461,2024,kortTenisowy,29
0461,2024,kortTenisowyZCzaszaFoliowa,4
0461,2024,ogrodZoologiczny,1
0461,2024,osrodekSportowoRekreacyjny,20
0461,2024,park,37
0461,2024,placGierIZabaw,502
0461,2024,placSportowy,238
0461,2024,stadion,6
0461,2024,torSamochodowy,2
0461,2024,torZuzlowy,2
0461,2024,zespolDomowLetniskowych,7
0463,2022,basenOdkryty,10
0463,2022,basenZCzaszaFoliowa,1
0463,2022,bieznia,71
